id,title,author,isbn,summary
44,The Jungle,Upton Sinclair,978-0-14-018651-2,"The Jungle is a novel by American author Upton Sinclair, first published in 1906. It is set in the meatpacking industry in Chicago and follows the experiences of a Lithuanian immigrant named Jurgis Rudkus as he struggles to survive and provide for his family."
45,The Art of War,Sun Tzu,978-0-14-044915-0,"The Art of War is an ancient Chinese military treatise attributed to the military strategist Sun Tzu, first written down in the 5th century BCE. It is considered one of the most important works on strategy and warfare and has been widely studied and applied in various fields."
46,The Republic,Plato,978-0-14-044914-3,"The Republic is a philosophical dialogue by Greek philosopher Plato, first written down in the 4th century BCE. It is one of the most influential works of philosophy and discusses the nature of justice, the ideal state, and the role of the philosopher."
47,The Wealth of Nations,Adam Smith,978-0-14-043208-4,"The Wealth of Nations is a book by Scottish economist Adam Smith, first published in 1776. It is considered one of the most important works in the field of economics and discusses the principles of free markets, division of labor, and the role of government in the economy."
48,The Communist Manifesto,Karl Marx,978-0-14-044757-6,"The Communist Manifesto is a political pamphlet by German philosophers Karl Marx and Friedrich Engels, first published in 1848. It is considered one of the most important works of political theory and discusses the principles of communism and the class struggle."
49,The Federalist Papers,Alexander Hamilton,978-0-14-044495-7,"The Federalist Papers is a collection of essays written by Alexander Hamilton, James Madison, and John Jay, first published in 1787-1788. It is considered one of the most important works of political theory and discusses the principles of the United States Constitution and the structure of the federal government."
50,The Prince and the Pauper,Mark Twain,978-0-14-043669-3,"The Prince and the Pauper is a novel by American author Mark Twain, first published in 1881. It tells the story of two boys, one a prince and the other a pauper, who switch places and experience life in each other's shoes."
51,The Night Circus,Erin Morgenstern,978-0-385-53463-5,"The Night Circus is a fantasy novel by Erin Morgenstern, first published in 2011. It tells the story of a magical competition between two young illusionists, Celia and Marco, who are bound by their mentors to compete against each other in a mysterious circus that only appears at night."
52,The Goldfinch,Donna Tartt,978-0-316-05542-0,"The Goldfinch is a novel by Donna Tartt, first published in 2013. It tells the story of Theo Decker, a young boy who survives a terrorist attack at a museum and becomes obsessed with a painting called The Goldfinch."
53,The Girl on the Train,Paula Hawkins,978-1-59448-832-3,"The Girl on the Train is a psychological thriller by Paula Hawkins, first published in 2015. It follows the lives of three women, Rachel, Megan, and Anna, whose lives become intertwined after a woman goes missing."
54,The Martian,Andy Weir,978-0-8041-3902-1,"The Martian is a science fiction novel by Andy Weir, first published in 2011. It tells the story of Mark Watney, an astronaut who is stranded on Mars and must use his ingenuity and resourcefulness to survive until rescue."
55,The Underground Railroad,Colson Whitehead,978-0-385-54236-4,"The Underground Railroad is a novel by Colson Whitehead, first published in 2016. It tells the story of Cora, a young slave who escapes from a plantation in Georgia and travels on the Underground Railroad, a network of secret routes and safe houses used by slaves to escape to free states."
56,The Sympathizer,Viet Thanh Nguyen,978-0-8021-2345-9,"The Sympathizer is a novel by Viet Thanh Nguyen, first published in 2015. It tells the story of a Vietnamese communist spy who comes to the United States after the fall of Saigon and becomes involved in espionage and political intrigue."
57,The Sellout,Paul Beatty,978-0-374-29855-0,"The Sellout is a novel by Paul Beatty, first published in 2015. It tells the story of a young African American man who tries to reinstate segregation in his Los Angeles neighborhood and ends up in the Supreme Court."
58,The Narrow Road to the Deep North,Richard Flanagan,978-0-385-53708-7,"The Narrow Road to the Deep North is a novel by Richard Flanagan, first published in 2013. It tells the story of Dorrigo Evans, an Australian doctor who is a prisoner of war in a Japanese labor camp during World War II."
59,The Luminaries,Eleanor Catton,978-0-316-22284-5,"The Luminaries is a novel by Eleanor Catton, first published in 2013. It tells the story of a young prospector who travels to New Zealand during the gold rush and becomes involved in a complex web of intrigue and mystery."
60,The Orphan Master's Son,Adam Johnson,978-0-8129-9473-7,"The Orphan Master's Son is a novel by Adam Johnson, first published in 2012. It tells the story of Pak Jun Do, a North Korean orphan who rises through the ranks of the military and becomes involved in espionage and political intrigue."
61,The Sense of an Ending,Julian Barnes,978-0-307-59273-7,"The Sense of an Ending is a novel by Julian Barnes, first published in 2011. It tells the story of Tony Webster, a retired man who reflects on his life and the choices he made as a young man."
62,The Tiger's Wife,Téa Obreht,978-0-385-53461-1,"The Tiger's Wife is a novel by Téa Obreht, first published in 2011. It tells the story of a young doctor who returns to her hometown in the Balkans and becomes involved in a series of mysterious deaths."
63,The Brief Wondrous Life of Oscar Wao,Junot Díaz,978-1-59448-329-8,"The Brief Wondrous Life of Oscar Wao is a novel by Junot Díaz, first published in 2007. It tells the story of Oscar de León, a Dominican American man who is obsessed with science fiction and fantasy and struggles to find love and acceptance."
64,The Road,Cormac McCarthy,978-0-307-38789-9,"The Road is a novel by Cormac McCarthy, first published in 2006. It tells the story of a father and son who travel through a post-apocalyptic America in search of safety and survival."
65,The Amazing Adventures of Kavalier & Clay,Michael Chabon,978-0-312-42786-8,"The Amazing Adventures of Kavalier & Clay is a novel by Michael Chabon, first published in 2000. It tells the story of two Jewish cousins, Joe Kavalier and Sam Clay, who create a comic book superhero during World War II."
66,The Corrections,Jonathan Franzen,978-0-374-15855-7,"The Corrections is a novel by Jonathan Franzen, first published in 2001. It tells the story of the Lambert family, who gather for one last Christmas together as the patriarch, Alfred, struggles with Parkinson's disease."
67,The Known World,Edward P. Jones,978-0-06-055755-3,"The Known World is a novel by Edward P. Jones, first published in 2003. It tells the story of Henry Townsend, a former slave who becomes a successful plantation owner in antebellum Virginia."
68,The Hours,Michael Cunningham,978-0-312-42283-2,"The Hours is a novel by Michael Cunningham, first published in 1998. It tells the story of three women, Virginia Woolf, Laura Brown, and Clarissa Vaughan, whose lives are interconnected by the novel Mrs. Dalloway."
69,The Blind Assassin,Margaret Atwood,978-0-385-72038-6,"The Blind Assassin is a novel by Margaret Atwood, first published in 2000. It tells the story of two sisters, Iris and Laura Chase, and the events that lead to Laura's death."
70,The Road to Wellville,T.C. Boyle,978-0-14-016718-4,"The Road to Wellville is a novel by T.C. Boyle, first published in 1993. It tells the story of Dr. John Harvey Kellogg and his Battle Creek Sanitarium, a health spa in Michigan that promotes a strict vegetarian diet and various unconventional treatments."
71,The Shipping News,Annie Proulx,978-0-684-84486-5,"The Shipping News is a novel by Annie Proulx, first published in 1993. It tells the story of Quoyle, a newspaper reporter who moves to Newfoundland after the death of his wife and begins a new life as a fisherman."
72,The Stone Diaries,Carol Shields,978-0-14-029628-0,"The Stone Diaries is a novel by Carol Shields, first published in 1993. It tells the story of Daisy Goodwill Flett, a woman who reflects on her life and the choices she made as she approaches old age."
73,The Mambo Kings Play Songs of Love,Oscar Hijuelos,978-0-14-015406-1,"The Mambo Kings Play Songs of Love is a novel by Oscar Hijuelos, first published in 1989. It tells the story of the Castillo brothers, Cesar and Nestor, who come to New York City from Cuba in the 1950s and become famous mambo musicians."
74,The English Patient,Michael Ondaatje,978-0-14-025259-0,"The English Patient is a novel by Michael Ondaatje, first published in 1992. It tells the story of a severely burned man who is cared for by a nurse in an Italian villa during World War II and reflects on his past."
